company_name,funding_citations
nordic nanovector asa,https://www.inderes.dk/en/releases/nordic-nanovector-asa-key-information-regarding-potential-subsequent-offering
t7 therapeutics inc,https://www.bioworld.com/articles/694125-tvm-invests-25m-in-new-ige-directed-antibody-allergy-play
cystetic medicines inc,https://medicine.illinois.edu/news/company-co-founded-by-carle-illinois-faculty-member-secures-25-million-to-advance-promising-new-cystic-fibrosis-treatment
mozart therapeutics inc,https://www.crunchbase.com/organization/mozart-therapeutics
topelia aust ltd,https://www.biospace.com/topelia-australia-launches-us-25m-series-a-call-for-covid-19-att-ziverdox
angiex inc,https://www.linkedin.com/company/angiex-inc
immune onc therapeutics inc,https://www.crunchbase.com/organization/immune-onc-therapeutics
rona therapeutics inc,https://www.linkedin.com/company/ronatherapeutics/
zucara therapeutics inc,https://www.prnewswire.com/news-releases/zucara-therapeutics-announces-second-and-final-closing-of-us25-million-series-b-financing-302441949.html
bionova pharmaceuticals ltd,https://lu.linkedin.com/company/bionova-pharmaceutical-ltd
renibus therapeutics inc,https://www.crunchbase.com/organization/renibus-therapeutics
pathios therapeutics ltd,https://www.crunchbase.com/organization/pathios-therapeutics
vittoria biotherapeutics inc,https://www.globenewswire.com/news-release/2024/11/12/2978833/0/en/Vittoria-Biotherapeutics-Completes-25-Million-in-Private-Financing-to-Propel-Groundbreaking-Cell-Therapy-Candidates.html
rallybio corp,https://www.stocktitan.net/news/RLYB/
atrogi ab,https://www.biospace.com/atrogi-announces-publication-on-advancements-in-combatting-obesity-and-metabolic-complications
bacainn therapeutics inc,https://www.biospace.com/bacainn-therapeutics-reports-positive-topline-results-from-phase-1-study-of-bt051-a-novel-therapeutic-approach-to-treat-inflammatory-diseases-such-as-ulcerative-colitis
pyc therapeutics ltd,https://au.linkedin.com/company/pyc-tx
oncosynergy inc (inactive),https://tracxn.com/d/companies/oncosynergy/__iPxgl2MRCgrHMzL1bAz4Y5V2bU5DLSn1ZKJaGKtJfCs
chordia therapeutics inc,https://www.linkedin.com/company/chordia-therapeutics-inc/
minoryx therapeutics sl,https://www.minoryx.com/
squarex pharmaceutical corp,https://www.cbinsights.com/company/squarex-pharmaceutical
cardurion pharmaceuticals inc,https://www.biopharmadive.com/news/cardurion-series-b-pde9-inhibitors-heart-drug-venture/721462/
